,Sys no.,Link,Title,Subject: 650 field only,Questions,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Best Bets
LA,1708065,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1708065",Iter,"Middle Ages--Periodicals--Indexes.;Middle Ages--Bibliography.;Renaissance--Periodicals--Indexes.;Renaissance--Bibliography.;Manuscripts, Renaissance--Union lists.;Middle Ages--Study and teaching (Higher)--Directories.;Renaissance--Study and teaching (Higher)--Directories.",,Medieval Studies,,,,,
LA,1717042,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1717042",Past masters,Philosophy--Databases.;Political science--Databases.;Economics--Databases.,,Philosophy,,,,,
LA,1718430,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1718430",Contemporary women's issues,Women--Social conditions--Indexes.;Feminism--Indexes.,,Gender Studies,,,,,
LA,1719371,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1719371",Current index to statistics extended database,Mathematical statistics--Indexes.;Statistics--Indexes.,,Statistics and Probability,,,,,
LA,1721802,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1721802",Gale biography in context.,Biography--Dictionaries.;Biography--Databases.,,History,,,,,
LA,1737903,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1737903",American national biography online.,,,American Studies,History,,,,
LA,1738407,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1738407",Essay and general literature index,Essays--Indexes.;Literature--Indexes.;Social sciences--Indexes.,?,,,,,,
LA,1738408,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1738408",International political science abstracts,Political science--Abstracts.;World politics--1945-1989--Abstracts.;World politics--1989---Abstracts.;International law--Abstracts.,,Political Science,Global Affairs,,,,
LA,1738448,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1738448",The serials directory,Serial publications--Directories.;Periodicals--Directories.;Newspapers--Directories--Directories.,?,,,,,,
LA,1742800,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1742800",ProQuest government periodicals index,Government publications--United States--Periodicals--Indexes.;American periodicals--Indexes.,,Political Science,,,,,
LA,1744625,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1744625",AccessUN,,,Political Science,Global Affairs,,,,
LA,1748276,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1748276",CANTUS,Gregorian chants--Indexes.,,Music,,,,,
LA,1760160,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1760160",Oxford English dictionary,English language--Dictionaries.,,English Language and Literature,,,,,
LA,1765287,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1765287",SMA: Sports Market Analytics,Sporting goods industry--Databases.;Athletics--Equipment and supplies--Databases.;Sports--Economic aspects--Databases.;Sporting goods--Marketing--Databases.;Sports--United States--Marketing--Databases.,?,,,,,,
LA,1771590,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1771590",AFI catalog.,Motion pictures--United States--Catalogs.;Motion pictures--United States--Databases.,,"Film, Television, and Theatre",,,,,
LA,1771591,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1771591",Performing arts periodicals database.,Performing arts--Periodicals--Databases.;Performing arts--Periodicals--Indexes.,,"Film, Television, and Theatre",,,,,
LA,1788988,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1788988",North American women's letters and diaries,Women--North America--Correspondence.;Women--North America--Diaries.;Diaries--Women authors.;Letters--Women authors.,,History,Gender Studies,,,,
